Provider,ClaimID_count,BeneID_nunique,ClaimDuration_mean,ClaimDuration_max,InscClaimAmtReimbursed_mean,InscClaimAmtReimbursed_sum,InscClaimAmtReimbursed_std,Insurance_Coverage_Ratio_mean,Patient_Risk_Score_mean,Docs_Involved_Count_mean,ClmProcedureCode_1_count,County_nunique,Ratio_ClaimsPerPatient,Unique_Staff_Count,Ratio_ClaimsPerDoctor,Ratio_Inpatient_Business
PRV51040,86,69,1.6627906976744187,33,865.9302325581396,74470,3171.5249172846784,131.54166463079437,17.627906976744185,1.2209302325581395,6,10,1.2463768115942029,15,5.375,0.10465116279069768
PRV51041,34,31,2.3529411764705883,20,217.94117647058823,7410,562.4232171797465,209.85848469754035,17.91176470588235,1.1176470588235294,0,6,1.096774193548387,9,3.4,0.0
PRV51042,142,128,1.232394366197183,20,338.38028169014086,48050,625.791569456442,325.32023141443347,17.929577464788732,1.471830985915493,0,28,1.109375,52,2.6792452830188678,0.0
PRV51043,23,20,0.0,0,194.7826086956522,4480,297.6402582315741,194.7826086956522,17.73913043478261,1.1304347826086956,0,4,1.15,6,3.2857142857142856,0.0
PRV51044,59,39,2.152542372881356,20,361.52542372881356,21330,633.149798583193,352.6426819827964,17.491525423728813,1.0,0,5,1.5128205128205128,1,29.5,0.0
PRV51045,31,29,2.2580645161290325,20,270.64516129032256,8390,602.7212483609703,261.20377655389456,17.516129032258064,1.2258064516129032,0,9,1.0689655172413792,16,1.8235294117647058,0.0
PRV51046,38,26,1.631578947368421,20,2878.157894736842,109370,7053.672555125875,217.53844792681718,16.894736842105264,1.2105263157894737,5,6,1.4615384615384615,6,5.428571428571429,0.21052631578947367
PRV51047,11,11,3.090909090909091,20,230.0,2530,371.80640123591206,230.0,18.09090909090909,1.1818181818181819,0,6,1.0,10,1.0,0.0
PRV51048,38,33,0.6052631578947368,10,728.9473684210526,27700,1574.7102512949575,226.81600495018512,17.07894736842105,1.1578947368421053,3,9,1.1515151515151516,15,2.375,0.10526315789473684
PRV51049,71,65,1.7887323943661972,20,305.9154929577465,21720,644.0465321804644,301.2286601788475,17.338028169014084,1.2535211267605635,0,21,1.0923076923076922,35,1.9722222222222223,0.0
PRV51052,46,37,2.282608695652174,20,669.5652173913044,30800,1588.238656180332,356.9195839904727,17.847826086956523,1.1304347826086956,1,7,1.2432432432432432,17,2.5555555555555554,0.043478260869565216
PRV51053,1,1,5.0,5,8000.0,8000,0.0,7.483629560336763,18.0,2.0,1,1,1.0,1,0.5,1.0
PRV51054,57,40,2.3508771929824563,20,265.43859649122805,15130,417.09056131834507,263.03219410516147,18.54385964912281,1.1228070175438596,0,4,1.425,3,14.25,0.0
PRV51055,22,22,0.5909090909090909,6,983.6363636363636,21640,3395.7838641391845,224.80740553534662,17.318181818181817,1.0909090909090908,2,8,1.0,6,3.142857142857143,0.09090909090909091
PRV51056,22,21,0.7272727272727273,5,668.1818181818181,14700,1288.2385033674632,302.40628068249464,16.454545454545453,1.5454545454545454,1,6,1.0476190476190477,5,3.6666666666666665,0.09090909090909091
PRV51057,5,4,0.0,0,1366.0,6830,1273.8838251583227,1366.0,18.8,1.0,0,1,1.25,1,2.5,0.0
PRV51058,83,75,1.3012048192771084,20,1289.5180722891566,107030,6524.930595577891,192.13023439235738,17.481927710843372,1.3855421686746987,4,10,1.1066666666666667,31,2.59375,0.060240963855421686
PRV51059,96,82,2.4791666666666665,35,4386.041666666667,421060,10846.377176314554,210.2609946215963,17.791666666666668,1.5104166666666667,17,17,1.170731707317073,30,3.096774193548387,0.2604166666666667
PRV51060,42,42,2.3095238095238093,20,1040.7142857142858,43710,2605.1781389932817,208.1604971268208,17.476190476190474,1.3095238095238095,0,15,1.0,28,1.4482758620689655,0.11904761904761904
PRV51061,145,67,2.393103448275862,20,378.8965517241379,54940,846.8914705174736,311.9166393740472,17.93793103448276,1.0482758620689656,1,5,2.1641791044776117,6,20.714285714285715,0.006896551724137931
PRV51062,397,166,1.5969773299748111,20,386.3476070528967,153380,1582.0120515942547,258.51551104625804,17.261964735516372,1.3929471032745593,3,12,2.391566265060241,6,56.714285714285715,0.007556675062972292
PRV51063,149,115,1.610738255033557,20,343.02013422818794,51110,649.1935794860635,337.76491817230465,17.530201342281877,1.1275167785234899,0,14,1.2956521739130435,3,37.25,0.0
PRV51064,303,227,1.9504950495049505,29,1189.1749174917493,360320,3480.8675241896503,259.08062022680423,17.297029702970296,1.316831683168317,20,39,1.3348017621145374,111,2.705357142857143,0.1188118811881188
PRV51065,28,26,2.9285714285714284,20,2734.6428571428573,76570,3990.1819155994285,47.75471935704239,17.428571428571427,1.4285714285714286,8,6,1.0769230769230769,9,2.8,0.35714285714285715
PRV51066,24,21,1.0833333333333333,20,1032.9166666666667,24790,3108.2911272730003,221.3635048023044,18.125,1.1666666666666667,2,5,1.1428571428571428,7,3.0,0.08333333333333333
PRV51067,58,49,2.310344827586207,23,5767.586206896552,334520,15030.416215635716,149.9280308171018,17.5,1.2758620689655173,9,8,1.183673469387755,21,2.6363636363636362,0.20689655172413793
PRV51068,261,214,1.3754789272030652,20,548.8888888888889,143260,1833.7386964443995,245.8950991625885,17.71264367816092,1.2796934865900382,3,15,1.219626168224299,79,3.2625,0.034482758620689655
PRV51070,99,69,1.9090909090909092,20,1266.7676767676767,125410,3525.2155320655197,239.51920823513598,18.03030303030303,1.4646464646464648,4,20,1.434782608695652,46,2.106382978723404,0.10101010101010101
PRV51071,24,24,2.0833333333333335,20,356.25,8550,728.391990142909,217.16909882232463,17.125,1.1666666666666667,0,9,1.0,11,2.0,0.0
PRV51072,212,160,1.5377358490566038,20,562.122641509434,119170,1647.668962074742,221.56418194965065,17.566037735849058,1.3820754716981132,6,23,1.325,47,4.416666666666667,0.05660377358490566
PRV51074,39,39,1.8974358974358974,20,1055.6410256410256,41170,2662.095331117354,260.49981773607175,17.384615384615383,1.5128205128205128,1,14,1.0,14,2.6,0.1282051282051282
PRV51075,17,13,1.1764705882352942,20,502.94117647058823,8550,765.4881180159032,491.34217067108534,17.529411764705884,1.0588235294117647,0,5,1.3076923076923077,4,3.4,0.0
PRV51076,29,27,1.1724137931034482,20,352.7586206896552,10230,853.5467873682151,345.9972954699121,17.24137931034483,1.2758620689655173,0,7,1.0740740740740742,8,3.2222222222222223,0.0
PRV51077,33,30,4.181818181818182,20,6192.424242424242,204350,11146.270685273796,147.89536735173525,16.303030303030305,1.393939393939394,6,4,1.1,11,2.75,0.48484848484848486
PRV51078,23,23,2.652173913043478,21,3403.0434782608695,78270,5039.106553910134,101.78537357945335,17.782608695652176,1.391304347826087,6,9,1.0,13,1.6428571428571428,0.391304347826087
PRV51081,200,131,1.62,20,620.4,124080,3552.83973617651,215.38670989143876,17.385,1.065,5,7,1.5267175572519085,3,50.0,0.03
PRV51082,34,31,1.1764705882352942,20,160.88235294117646,5470,237.41496272903532,155.08285004142502,18.147058823529413,1.088235294117647,0,6,1.096774193548387,9,3.4,0.0
PRV51083,90,81,1.3777777777777778,20,201.11111111111111,18100,512.3210993741329,190.03373436890354,17.288888888888888,1.3111111111111111,0,15,1.1111111111111112,18,4.7368421052631575,0.0
PRV51084,110,85,1.6727272727272726,28,1959.8181818181818,215580,5957.252765923029,201.58853447606742,17.563636363636363,1.290909090909091,10,17,1.2941176470588236,32,3.3333333333333335,0.18181818181818182
PRV51086,139,115,2.7985611510791366,20,3209.856115107914,446170,8080.497185307093,240.63414140101375,17.58273381294964,1.158273381294964,20,19,1.208695652173913,24,5.56,0.22302158273381295
PRV51089,228,197,1.6929824561403508,20,1012.719298245614,230900,3851.611890980826,234.46194716754172,17.609649122807017,1.412280701754386,13,41,1.1573604060913705,72,3.1232876712328768,0.07894736842105263
PRV51090,7,7,5.714285714285714,20,832.8571428571429,5830,1303.798479900355,369.1569086651054,17.714285714285715,1.0,0,3,1.0,3,1.75,0.0
PRV51091,44,44,0.9318181818181818,20,210.6818181818182,9270,451.69138325658287,208.4371492704826,17.5,1.5227272727272727,0,14,1.0,19,2.2,0.0
PRV51093,9,9,1.4444444444444444,11,1523.3333333333333,13710,3616.559138186461,302.25444340505146,17.333333333333332,1.4444444444444444,2,4,1.0,6,1.2857142857142858,0.2222222222222222
PRV51096,5,5,4.0,20,640.0,3200,826.4381404557754,560.7920792079208,17.2,1.4,0,4,1.0,3,1.25,0.0
PRV51097,125,71,1.744,20,355.36,44420,751.1727862740433,337.27776209337185,18.08,1.0,0,8,1.7605633802816902,1,62.5,0.0
PRV51098,4,4,0.0,0,75.0,300,85.04900548115383,75.0,16.0,1.0,0,2,1.0,2,1.3333333333333333,0.0
PRV51100,5,5,6.0,9,15600.0,78000,11436.782764396638,14.59307764265669,18.4,2.0,4,2,1.0,3,1.25,1.0
PRV51101,3,3,3.3333333333333335,6,5533.333333333333,16600,6576.726642740547,5.176177112566262,15.666666666666666,1.0,1,3,1.0,1,1.5,1.0
PRV51102,12,11,4.0,10,12333.333333333334,148000,12017.663767315278,11.537262238852511,17.25,1.6666666666666667,8,2,1.0909090909090908,3,3.0,1.0
PRV51103,6,4,0.0,0,73.33333333333333,440,71.46094504459528,70.05464480874316,14.833333333333334,0.8333333333333334,0,1,1.5,2,2.0,0.0
PRV51104,12,9,1.1666666666666667,14,158.33333333333334,1900,202.83595401807898,144.15691569156914,17.0,1.0,0,1,1.3333333333333333,2,4.0,0.0
PRV51105,12,12,3.3333333333333335,20,545.0,6540,767.4455858708989,545.0,16.916666666666668,1.0833333333333333,0,1,1.0,2,4.0,0.0
PRV51108,19,19,5.2631578947368425,16,8210.526315789473,156000,5633.027086038801,7.743477808959568,16.05263157894737,1.105263157894737,5,5,1.0,6,2.7142857142857144,1.0
PRV51109,3,3,6.333333333333333,9,6000.0,18000,2645.7513110645905,5.612722170252572,13.666666666666666,1.6666666666666667,3,2,1.0,1,1.5,1.0
PRV51110,5,5,10.2,28,5400.0,27000,2509.980079602227,5.051449953227315,16.4,1.6,4,5,1.0,3,1.25,1.0
PRV51111,132,85,2.462121212121212,20,415.6060606060606,54860,886.0584799473751,414.4809480948095,17.507575757575758,1.25,0,4,1.5529411764705883,4,26.4,0.0
PRV51112,304,195,1.8453947368421053,20,346.2171052631579,105250,655.4920296194023,339.56876397585745,17.638157894736842,1.3782894736842106,0,6,1.558974358974359,7,38.0,0.0
PRV51113,132,78,1.5454545454545454,20,351.43939393939394,46390,712.5667319233369,332.2375942460858,17.742424242424242,1.196969696969697,1,4,1.6923076923076923,2,44.0,0.0
PRV51114,262,160,1.1984732824427482,20,292.82442748091603,76720,708.7145287296077,287.46485274162944,17.515267175572518,1.1870229007633588,0,7,1.6375,5,43.666666666666664,0.0
PRV51115,7,6,0.0,0,140.0,980,203.96078054371137,126.39455782312926,17.857142857142858,1.4285714285714286,0,2,1.1666666666666667,3,1.75,0.0
PRV51117,12,10,1.75,20,162.5,1950,390.8527972151524,162.5,16.25,1.25,0,5,1.2,4,2.4,0.0
PRV51118,16,16,4.25,13,8500.0,136000,5738.757124441959,6.2140852599224905,16.9375,1.3125,12,5,1.0,4,3.2,1.0
PRV51119,95,81,6.042105263157895,35,11374.526315789473,1080580,16356.874653901614,10.423472810651262,16.642105263157895,1.4631578947368422,56,10,1.1728395061728396,8,10.555555555555555,0.9894736842105263
PRV51120,7,7,4.142857142857143,6,7428.571428571428,52000,4649.628761422531,6.949084591741281,17.0,1.0,4,1,1.0,1,3.5,1.0
PRV51121,7,7,5.571428571428571,10,11582.857142857143,81080,15810.69439154578,22.25310704262996,17.571428571428573,1.5714285714285714,5,3,1.0,3,1.75,0.8571428571428571
PRV51122,7,7,0.0,0,160.0,1120,200.91457554559517,160.0,19.142857142857142,1.0,0,3,1.0,7,0.875,0.0
PRV51123,31,28,2.4838709677419355,20,868.0645161290323,26910,1317.6934882711753,540.2479798689776,17.70967741935484,1.1290322580645162,1,11,1.1071428571428572,21,1.4090909090909092,0.06451612903225806
PRV51125,48,32,2.4791666666666665,20,2735.625,131310,5492.628292403431,433.7103364056618,17.645833333333332,1.3125,7,11,1.5,36,1.2972972972972974,0.25
PRV51126,20,14,6.5,28,8850.0,177000,6200.806399170998,8.278765201122544,16.35,1.65,13,7,1.4285714285714286,2,6.666666666666667,1.0
PRV51128,50,38,2.34,20,2044.4,102220,6147.383103435815,246.08381665107575,17.0,1.46,3,10,1.3157894736842106,19,2.5,0.1
PRV51129,96,65,1.3541666666666667,20,238.75,22920,364.57401241217923,229.65901931646508,17.8125,1.375,0,19,1.476923076923077,54,1.7454545454545454,0.0
PRV51130,7,7,2.857142857142857,20,710.0,4970,1110.8555261599054,710.0,17.285714285714285,1.1428571428571428,0,3,1.0,2,2.3333333333333335,0.0
PRV51131,8,8,0.0,0,145.0,1160,272.81600288210996,138.83802816901408,17.875,1.375,0,3,1.0,4,1.6,0.0
PRV51132,8,6,1.75,6,666.25,5330,1376.0392176720216,166.71772684752105,19.625,1.125,1,4,1.3333333333333333,5,1.3333333333333333,0.125
PRV51134,15,12,2.6666666666666665,20,507.3333333333333,7610,862.0363488082546,401.9835390946502,17.666666666666668,1.0,0,3,1.25,3,3.75,0.0
PRV51135,5,2,0.0,0,60.0,300,25.495097567963924,60.0,17.8,1.0,0,2,2.5,1,2.5,0.0
PRV51136,1,1,2.0,2,20000.0,20000,0.0,18.709073900841908,20.0,1.0,1,1,1.0,1,0.5,1.0
PRV51137,55,51,0.2,7,291.8181818181818,16050,915.9756807969565,172.96174058267042,17.163636363636364,1.4181818181818182,1,13,1.0784313725490196,23,2.2916666666666665,0.01818181818181818
PRV51138,26,21,1.5384615384615385,20,516.5384615384615,13430,1328.0751253078788,285.9851046988559,18.076923076923077,1.6153846153846154,1,5,1.2380952380952381,7,3.25,0.038461538461538464
PRV51139,43,42,2.4651162790697674,20,1222.7906976744187,52580,2617.7647003842944,261.1820781292199,17.627906976744185,1.302325581395349,1,17,1.0238095238095237,34,1.2285714285714286,0.16279069767441862
PRV51140,487,394,2.1047227926078027,29,930.4517453798768,453130,2349.610904052943,288.0714130581955,17.55852156057495,1.5585215605749487,19,7,1.236040609137056,5,81.16666666666667,0.09650924024640657
PRV51141,71,37,1.732394366197183,20,274.50704225352115,19490,409.52512126815634,247.20591354394168,18.549295774647888,1.2394366197183098,0,10,1.9189189189189189,8,7.888888888888889,0.0
PRV51142,51,38,1.9215686274509804,22,2050.392156862745,104570,8323.291887416734,149.83253139871172,17.823529411764707,1.1764705882352942,3,6,1.3421052631578947,15,3.1875,0.13725490196078433
PRV51143,77,68,0.987012987012987,20,265.5844155844156,20450,515.6944564230928,237.29965433518143,18.155844155844157,1.2077922077922079,0,17,1.1323529411764706,26,2.8518518518518516,0.0
PRV51144,30,29,1.8,20,2040.6666666666667,61220,6249.665885322264,238.15306956824853,17.766666666666666,1.3666666666666667,3,10,1.0344827586206897,14,2.0,0.13333333333333333
PRV51145,202,161,4.900990099009901,35,7952.227722772277,1606350,8839.83473245615,32.6668552149181,16.816831683168317,1.5594059405940595,97,15,1.2546583850931676,37,5.315789473684211,0.7970297029702971
PRV51146,352,334,3.4232954545454546,30,4775.3125,1680910,8277.428541756724,176.2236997652301,17.164772727272727,1.4886363636363635,88,49,1.0538922155688624,77,4.512820512820513,0.4602272727272727
PRV51147,32,32,2.5,20,276.875,8860,691.7319894014519,261.8648236092266,18.34375,1.3125,0,11,1.0,23,1.3333333333333333,0.0
PRV51148,330,263,1.8484848484848484,20,1480.7878787878788,488660,4684.377189223393,267.5981432715445,17.584848484848486,1.206060606060606,27,25,1.2547528517110267,60,5.409836065573771,0.10303030303030303
PRV51149,148,136,4.6891891891891895,26,7572.1621621621625,1120680,8738.849185629122,58.084527720526175,16.58783783783784,1.0810810810810811,67,14,1.088235294117647,25,5.6923076923076925,0.7837837837837838
PRV51151,233,225,1.6952789699570816,20,863.9484978540772,201300,2253.739963909391,235.31216389329097,17.30901287553648,1.4163090128755365,12,47,1.0355555555555556,97,2.377551020408163,0.0944206008583691
PRV51152,83,39,1.7228915662650603,20,310.48192771084337,25770,645.3395846741914,262.8812227634833,17.313253012048193,1.2289156626506024,0,3,2.128205128205128,3,20.75,0.0
PRV51153,87,83,1.4022988505747127,20,821.7241379310345,71490,3780.9243384717165,214.3206394364412,17.57471264367816,1.367816091954023,4,26,1.0481927710843373,51,1.6730769230769231,0.04597701149425287
PRV51154,161,147,1.3229813664596273,20,284.16149068322983,45750,796.7085092791241,277.40028625265967,17.527950310559007,1.2111801242236024,0,11,1.0952380952380953,3,40.25,0.0
PRV51155,115,110,1.0434782608695652,20,228.95652173913044,26330,483.3098129420105,224.8095085723406,17.88695652173913,1.1391304347826088,0,3,1.0454545454545454,1,57.5,0.0
PRV51156,542,425,1.367158671586716,20,259.48339483394835,140640,533.4428603946388,248.3953343369101,17.78782287822878,1.2749077490774907,0,9,1.275294117647059,3,135.5,0.0
PRV51159,569,506,1.7398945518453428,35,1402.091388400703,797790,4299.032443396993,279.23989645392373,17.657293497363796,1.390158172231986,34,53,1.1245059288537549,99,5.69,0.11423550087873462
PRV51160,114,110,4.87719298245614,30,7649.298245614035,872020,9433.836457117693,59.07776144445929,16.517543859649123,1.6754385964912282,53,10,1.0363636363636364,22,4.956521739130435,0.7894736842105263
PRV51164,391,334,1.659846547314578,30,1424.5012787723786,556980,4465.106159977628,273.4736958144874,17.63171355498721,1.3759590792838874,21,13,1.1706586826347305,7,48.875,0.10485933503836317
PRV51165,98,97,2.4489795918367347,35,3364.285714285714,329700,8368.731936608088,234.47731915867615,17.642857142857142,1.5510204081632653,20,33,1.0103092783505154,62,1.5555555555555556,0.2653061224489796
PRV51166,5,5,3.2,16,4974.0,24870,9586.413823740346,578.1159962581853,18.2,1.2,1,4,1.0,4,1.0,0.2
PRV51167,190,182,1.7421052631578948,20,273.57894736842104,51980,546.3295820773889,267.68049722667376,17.573684210526316,1.394736842105263,0,33,1.043956043956044,22,8.26086956521739,0.0
PRV51168,87,86,0.7701149425287356,16,924.9425287356322,80470,3020.761059795954,198.56589960653474,17.586206896551722,1.4597701149425288,5,13,1.0116279069767442,14,5.8,0.10344827586206896
PRV51169,77,74,1.4935064935064934,20,251.6883116883117,19380,512.5385803126961,250.6697224344283,17.532467532467532,1.3376623376623376,0,31,1.0405405405405406,51,1.4807692307692308,0.0
PRV51170,16,16,3.125,27,9113.75,145820,16322.149317211055,59.72754911131899,16.8125,1.4375,6,9,1.0,8,1.7777777777777777,0.5
PRV51171,59,59,1.576271186440678,20,234.23728813559322,13820,505.2114729286399,232.56624492719027,17.54237288135593,1.2881355932203389,0,24,1.0,38,1.5128205128205128,0.0
PRV51173,22,21,4.318181818181818,23,4376.818181818182,96290,7733.495104853725,289.73594693426315,18.09090909090909,1.6363636363636365,6,10,1.0476190476190477,12,1.6923076923076923,0.3181818181818182
PRV51175,41,39,0.6585365853658537,20,235.3658536585366,9650,417.4691459316221,223.42151613768647,17.26829268292683,1.2439024390243902,0,10,1.0512820512820513,21,1.8636363636363635,0.0
PRV51176,445,399,2.0651685393258425,20,328.0449438202247,145980,703.2620247482307,320.49409436512667,17.451685393258426,1.456179775280899,0,54,1.1152882205513786,128,3.449612403100775,0.0
PRV51178,65,64,4.523076923076923,35,6633.538461538462,431180,9616.349104319881,139.39008411215127,17.323076923076922,1.476923076923077,21,12,1.015625,19,3.25,0.5230769230769231
PRV51179,26,26,0.8076923076923077,20,192.30769230769232,5000,310.19100815217314,192.30769230769232,17.807692307692307,1.4230769230769231,0,7,1.0,14,1.7333333333333334,0.0
PRV51180,129,86,1.6124031007751938,20,730.5426356589147,94240,3674.618030761308,359.27277895676616,17.589147286821706,1.0,1,5,1.5,3,32.25,0.015503875968992248
PRV51181,10,10,2.6,20,215.0,2150,275.8522148623143,215.0,17.3,1.6,0,3,1.0,5,1.6666666666666667,0.0
PRV51183,113,105,2.504424778761062,28,3148.5840707964603,355790,6804.611732816711,170.58099415012057,17.398230088495577,1.407079646017699,20,18,1.0761904761904761,8,12.555555555555555,0.36283185840707965
PRV51185,8,8,0.0,0,198.75,1590,191.045058260386,198.75,18.125,1.125,0,2,1.0,5,1.3333333333333333,0.0
PRV51186,2,2,0.0,0,50.0,100,0.0,50.0,19.0,1.0,0,2,1.0,1,1.0,0.0
PRV51189,56,51,0.6071428571428571,20,156.07142857142858,8740,254.4989985436883,145.95836870618095,18.232142857142858,1.0892857142857142,0,5,1.0980392156862746,11,4.666666666666667,0.0
PRV51190,66,64,0.6060606060606061,15,595.6060606060606,39310,2016.9673570356358,227.06800651717816,17.196969696969695,1.2121212121212122,2,13,1.03125,23,2.75,0.045454545454545456
PRV51191,32,30,3.15625,20,343.4375,10990,644.463314479325,334.16552197802196,18.34375,1.53125,0,11,1.0666666666666667,22,1.391304347826087,0.0
PRV51194,9,9,0.6666666666666666,5,2060.0,18540,4661.984555958975,61.870907390084184,18.444444444444443,1.0,1,4,1.0,5,1.5,0.2222222222222222
PRV51196,720,432,1.4027777777777777,20,273.69444444444446,197060,600.1747227956727,267.2245025242597,17.79722222222222,0.9944444444444445,0,4,1.6666666666666667,1,360.0,0.0
PRV51198,6,3,0.0,0,60.0,360,37.416573867739416,53.548387096774185,20.166666666666668,1.0,0,2,2.0,2,2.0,0.0
PRV51200,19,16,1.5789473684210527,20,232.6315789473684,4420,417.0643716004515,232.6315789473684,17.473684210526315,1.105263157894737,0,4,1.1875,4,3.8,0.0
PRV51201,45,41,0.9777777777777777,15,236.88888888888889,10660,550.4412371503024,215.10239651416123,17.644444444444446,1.3333333333333333,0,9,1.0975609756097562,3,11.25,0.0
PRV51202,12,12,3.6666666666666665,20,417.5,5010,890.3331858457158,417.5,17.833333333333332,1.0,0,2,1.0,5,2.0,0.0
PRV51203,21,20,1.2380952380952381,20,730.4761904761905,15340,1977.689248063194,727.6543209876543,17.904761904761905,1.0952380952380953,0,4,1.05,5,3.5,0.0
PRV51204,499,398,1.6673346693386772,20,310.9819639278557,155180,651.8833063176052,301.82381926554854,17.837675350701403,1.248496993987976,0,7,1.2537688442211055,3,124.75,0.0
PRV51205,10,10,2.0,20,466.0,4660,1030.686933824018,456.14084507042253,17.7,1.2,0,5,1.0,6,1.4285714285714286,0.0
PRV51206,10,10,0.6,4,156.0,1560,149.75535605335344,156.0,17.3,1.6,0,5,1.0,6,1.4285714285714286,0.0
PRV51207,3,3,14.0,35,17000.0,51000,19313.207915827967,15.902712815715622,17.666666666666668,1.3333333333333333,3,2,1.0,2,1.0,1.0
PRV51209,42,38,0.8333333333333334,17,235.95238095238096,9910,351.26294454967064,227.78957787735558,17.571428571428573,1.0,0,2,1.105263157894737,2,14.0,0.0
